"Favorites list name: Journals_I_Published_In; Number of journals: 35"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total citations,Most recent JCR year,Most recent JIF,Most recent JCI,% of Citable OA
"European Journal of Pharmacology","EUR J PHARMACOL","0014-2999","1879-0712","PHARMACOLOGY & PHARMACY","SCIE","39,871","2024","4.7","1.37","17.12%",
"PLoS One","PLOS ONE","1932-6203","1932-6203","MULTIDISCIPLINARY SCIENCES","SCIE","816,429","2024","2.6","0.85","99.84%",
"JOURNAL OF EXPERIMENTAL BIOLOGY","J EXP BIOL","0022-0949","1477-9145","ZOOLOGY","SCIE","34,072","2024","2.6","1.13","37.75%",
"TOXICON","TOXICON","0041-0101","1879-3150","PHARMACOLOGY & PHARMACY; TOXICOLOGY","SCIE","12,203","2024","2.4","0.70","10.73%",
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1661-6596","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY; CHEMISTRY, MULTIDISCIPLINARY","SCIE","444,681","2024","4.9","0.71","99.98%",
"Pharmaceutics","PHARMACEUTICS","N/A","1999-4923","PHARMACOLOGY & PHARMACY","SCIE","61,559","2024","5.5","1.30","99.97%",
"SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY","SPECTROCHIM ACTA A","1386-1425","1873-3557","SPECTROSCOPY","SCIE","55,443","2024","4.6","1.78","4.97%",
"Scientific Reports","SCI REP-UK","2045-2322","2045-2322","MULTIDISCIPLINARY SCIENCES","SCIE","834,622","2024","3.9","1.07","99.69%",
"Science of The Total Environment","SCI TOTAL ENVIRON","0048-9697","1879-1026","ENVIRONMENTAL SCIENCES","SCIE","464,404","2024","8.0","1.50","19.95%",
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","0962-8452","1471-2954","EVOLUTIONARY BIOLOGY; BIOLOGY; ECOLOGY","SCIE","56,624","2024","3.5","1.07","61.87%",
"PEPTIDES","PEPTIDES","0196-9781","1873-5169","BIOCHEMISTRY & MOLECULAR BIOLOGY; ENDOCRINOLOGY & METABOLISM; PHARMACOLOGY & PHARMACY","SCIE","9,479","2024","2.9","0.77","24.49%",
"PeerJ","PEERJ","2167-8359","2167-8359","MULTIDISCIPLINARY SCIENCES","SCIE","48,587","2024","2.4","0.69","99.58%",
"Jove-Journal of Visualized Experiments","JOVE-J VIS EXP","1940-087X","1940-087X","MULTIDISCIPLINARY SCIENCES","SCIE","23,924","2024","1.0","0.25","0.44%",
